time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1766498400,144.59,144.59,144.53,144.53,947,2151.85,683.65
1766499300,144.65,144.69,144.55,144.65,2438,2266.25,683.92
1766500200,144.74,145.26,144.65,145.12,419872,23256.5,685.775
1766501100,145.11,145.235,144.635,144.75,302455,38365.4,685.41
1766502000,144.76,144.76,144.36,144.6,303712,53498.45,684.76
1766502900,144.6,144.96,144.59,144.8201,247073,65682.45,685.24
1766503800,144.83,145.11,144.825,145.08,201874,75761.15,686.1
1766504700,145.08,145.27,145.0101,145.2,175641,84522.85,686.32
1766505600,145.195,145.32,145.18,145.255,172961,93129,686.45
1766506500,145.25,145.51,145.25,145.445,200218,103120.5,686.492
1766507400,145.45,145.4551,145.3,145.43,207001,113468.05,686.69
1766508300,145.44,145.61,145.425,145.61,197854,123352.05,686.89
1766509200,145.61,145.63,145.52,145.56,167344,131596.2,686.94
1766510100,145.555,145.635,145.53,145.575,147591,138921.35,687.07
1766511000,145.57,145.64,145.51,145.54,140475,145899.1,687.045
1766511900,145.54,145.58,145.495,145.5,128125,152303.35,686.985
1766512800,145.5,145.62,145.48,145.59,114918,158026.75,687.34
1766513700,145.585,145.63,145.53,145.545,120395,163545.3,687.545
1766514600,145.545,145.64,145.51,145.635,143782,170192.85,687.66
1766515500,145.635,145.65,145.565,145.605,143556,176911.6,687.53
1766516400,145.61,145.69,145.59,145.675,183402,186034.35,687.7098
1766517300,145.675,145.73,145.655,145.72,131697,192497.3,687.875
1766518200,145.71,145.77,145.69,145.71,126195,177813.45,687.82
1766519100,145.72,145.795,145.7001,145.765,163820,170881.7,687.835
1766520000,145.76,145.84,145.76,145.805,184781,164935.15,687.885
1766520900,145.805,145.86,145.7926,145.805,163973,160780.15,687.85
1766521800,145.8,145.875,145.7827,145.84,206427,161007.8,687.745
1766522700,145.84,145.98,145.83,145.94,1054998,204975.65,687.91
1766523600,145.95,146.05,145.92,145.93,275857,210120.45,687.7
1766524500,145.9432,145.95,145.8789,145.911,882,200153.65,687.7296
1766525400,145.95,145.96,145.92,145.92,2015,189904.35,687.65
1766526300,145.9399,145.9399,145.73,145.73,5128,180268.05,687.7
1766527200,145.93,145.93,145.93,145.93,325,171917.1,687.7
1766533500,145.91,145.91,145.91,145.91,47,164539.9,687.63
1766536200,145.9391,145.94,145.9391,145.94,197,157526,687.7299
1766537100,145.92,145.92,145.9103,145.9103,400,151139.75,687.6757
1766566800,145.71,145.71,145.69,145.71,1025,145445.1,687.77
1766567700,145.89,145.94,145.89,145.94,303,139440.5,687.8
1766569500,145.91,145.91,145.82,145.82,355,132269.15,687.73
1766570400,145.91,145.91,145.91,145.91,670,125124.85,687.65
1766574000,145.88,145.88,145.88,145.88,50,115957.25,687.83
1766575800,145.81,145.81,145.72,145.72,2945,109519.65,687.7
1766576700,145.77,145.79,145.77,145.79,139,103216.85,687.71
1766577600,145.78,145.83,145.78,145.79,578,95054.75,687.95
1766578500,145.84,145.88,145.84,145.88,95,85820.45,687.91
1766579400,145.9,145.93,145.87,145.9,1391,77691.35,688.03
1766580300,145.91,145.91,145.91,145.91,100,67375,688.09
1766581200,145.91,145.92,145.85,145.85,391,14644.65,687.8981
1766582100,145.86,145.86,145.85,145.85,128,858.2,687.97
1766583000,145.93,145.94,145.89,145.93,1612,894.7,688.1511
1766583900,145.95,146,145.95,145.99,338,810.85,688.23
1766584800,145.99,146,145.99,146,738,591.35,688.2
1766585700,145.96,145.96,145.78,145.8,6162,883.2,687.97
1766586600,145.79,146.14,145.68,146,506640,26212.85,688.275
1766587500,146.01,146.12,145.88,146.085,346885,43547.25,688.6
1766588400,146.085,146.255,146.04,146.23,310175,59036,689.035
1766589300,146.23,146.34,146.02,146.14,238592,70914.35,689.165
1766590200,146.14,146.1973,146.05,146.105,152681,78533.25,689.25
1766591100,146.105,146.17,146.07,146.1624,126691,84850.05,689.47
