ticker,archetype,direction,alarm_lead,alarm_feature,ramp_slope,max_pre_density,explosion_density,explosion_energy,confirmation_decay,n_active_at_t0,price
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.0727,3,0,0.0,-0.4,0,52.189998626708984
QQQ,HH,TOP,3.0,d_current_slope,-0.1333,2,0,0.0,0.0,0,58.85000991821289
QQQ,HH,TOP,4.0,d_current_slope,-0.2545,2,0,0.0,0.0,0,58.939998626708984
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.1455,1,1,5.54,-0.4,1,52.880001068115234
QQQ,LH,TOP,3.0,kf_price_pred_val,-0.0485,3,0,0.0,0.0,0,57.24000930786133
QQQ,LH,TOP,4.0,kf_price_pred_val,-0.103,3,0,0.0,0.0,0,57.08000183105469
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,0.1,0,54.320011138916016
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,-0.0,0,55.929988861083984
QQQ,HH,TOP,4.0,rsi_value,0.0424,2,0,0.0,0.0,0,68.25
QQQ,LH,TOP,5.0,rsi_value,0.0061,2,0,0.0,0.0,0,68.2300033569336
QQQ,HL,BOTTOM,8.0,rsi_value,-0.3455,4,0,0.0,-0.4,0,62.060001373291016
QQQ,LL,BOTTOM,9.0,rsi_value,-0.3879,4,2,8.83,0.0,2,60.409000396728516
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,70.2699966430664
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,70.39998626708984
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,70.33000183105469
QQQ,HL,BOTTOM,1.0,vwap_sigma_current,0.297,3,3,14.99,-0.8,3,62.24000930786133
QQQ,LL,BOTTOM,1.0,rsi_value,0.3515,3,3,15.52,-0.4,3,62.029911041259766
QQQ,HL,BOTTOM,1.0,rsi_value,0.3697,3,2,9.22,0.0,2,62.29999923706055
QQQ,HH,TOP,8.0,vwap_sigma_current,-0.0727,1,0,0.0,0.0,0,73.58999633789062
QQQ,HH,TOP,9.0,vwap_sigma_current,-0.097,1,0,0.0,0.0,0,74.30000305175781
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.097,1,1,4.55,0.0,1,69.7300033569336
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.1273,1,0,0.0,0.0,0,70.2400131225586
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,88.55000305175781
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,88.77999877929688
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,88.4800033569336
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,84.29000091552734
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,84.91000366210938
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,90.80999755859375
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,91.05999755859375
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,90.9800033569336
QQQ,HL,BOTTOM,2.0,sigma_tide,0.0364,1,1,6.96,-0.3,1,85.0999984741211
QQQ,LL,BOTTOM,1.0,sigma_tide,0.1091,1,1,8.61,-0.3,1,84.11000061035156
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,99.52999877929688
QQQ,HH,TOP,,,0.0,0,0,0.0,0.2,0,100.27999877929688
QQQ,LH,TOP,,,0.0,0,0,0.0,0.1,0,99.9800033569336
QQQ,HL,BOTTOM,1.0,kf_rsi_pred_val,0.1697,2,3,13.24,-0.5,3,92.37000274658203
QQQ,LL,BOTTOM,1.0,kf_rsi_pred_val,0.3273,3,3,14.55,-0.0,3,91.79000091552734
QQQ,HL,BOTTOM,1.0,kf_rsi_pred_val,0.3939,3,0,0.0,-0.1,0,93.0
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,106.01000213623047
QQQ,HL,BOTTOM,,,0.0,0,1,4.37,-0.2,1,101.61000061035156
QQQ,LL,BOTTOM,1.0,vwap_sigma_wave,0.0545,1,1,5.45,0.0,1,99.9800033569336
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.097,1,0,0.0,0.0,0,101.80000305175781
QQQ,LH,TOP,7.0,vwap_sigma_wave,-0.0485,1,0,0.0,0.0,0,105.04000091552734
QQQ,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,100.95999908447266
QQQ,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,99.6500015258789
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,100.81999969482422
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,113.9800033569336
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,113.91000366210938
QQQ,LL,BOTTOM,1.0,kf_price_pred_val,0.4788,8,5,50.89,-1.3,5,98.45999908447266
QQQ,LL,BOTTOM,1.0,sigma_tide,0.6424,8,4,39.24,-0.5,4,98.08999633789062
QQQ,HL,BOTTOM,1.0,sigma_tide,0.6909,8,5,55.47,-0.2,5,103.02999877929688
QQQ,LH,TOP,7.0,sigma_tide,-0.2364,4,0,0.0,0.0,0,107.08999633789062
QQQ,HH,TOP,8.0,sigma_tide,-0.0303,1,0,0.0,0.0,0,107.12999725341797
QQQ,LH,TOP,9.0,sigma_tide,-0.0424,1,0,0.0,0.0,0,105.3499984741211
QQQ,LL,BOTTOM,,,0.0,0,2,9.53,-0.2,2,99.98999786376953
QQQ,LL,BOTTOM,1.0,sigma_tide,0.1091,2,1,5.33,0.0,1,99.47000122070312
QQQ,HL,BOTTOM,1.0,sigma_tide,0.1394,2,0,0.0,0.0,0,101.76000213623047
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,114.0199966430664
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,115.16000366210938
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,114.44999694824219
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.1636,3,2,11.18,-0.7,2,96.62000274658203
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.2364,3,3,15.46,-0.3,3,96.31999969482422
QQQ,HL,BOTTOM,1.0,vwap_sigma_tide,0.3394,3,2,9.98,-0.2,2,96.69000244140625
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,111.2300033569336
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,110.55000305175781
QQQ,HL,BOTTOM,4.0,vwap_sigma_wave,0.0182,1,0,0.0,0.0,0,105.05000305175781
QQQ,LL,BOTTOM,5.0,vwap_sigma_wave,0.0061,1,0,0.0,0.0,0,105.0199966430664
QQQ,HL,BOTTOM,6.0,vwap_sigma_wave,-0.0061,1,0,0.0,0.0,0,105.58000183105469
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,110.3499984741211
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,110.58000183105469
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,110.05999755859375
QQQ,LL,BOTTOM,1.0,kf_price_filt_vel,0.1091,2,3,14.22,0.0,3,102.22000122070312
QQQ,HL,BOTTOM,1.0,vwap_sigma_current,0.2485,3,0,0.0,0.0,0,104.45999908447266
QQQ,HH,TOP,2.0,kf_rsi_pred_val,0.1152,2,0,0.0,0.0,0,143.4199981689453
QQQ,HH,TOP,3.0,kf_rsi_pred_val,0.0788,2,0,0.0,0.0,0,143.57000732421875
QQQ,LH,TOP,4.0,kf_rsi_pred_val,0.0424,2,0,0.0,0.0,0,139.97999572753906
QQQ,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,136.19000244140625
QQQ,HH,TOP,1.0,sigma_tide,0.3515,3,1,5.12,-0.4,1,168.35000610351562
QQQ,HH,TOP,1.0,sigma_tide,0.2121,3,2,12.88,-0.2,2,170.92999267578125
QQQ,HL,BOTTOM,2.0,kf_price_pred_val,-0.0545,4,0,0.0,-0.6,0,160.2100067138672
QQQ,LL,BOTTOM,3.0,kf_price_pred_val,-0.0545,4,3,13.7,0.0,3,153.4499969482422
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.0667,4,0,0.0,0.0,0,156.10000610351562
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,174.0800018310547
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,171.7100067138672
QQQ,LL,BOTTOM,2.0,sigma_tide,0.0848,2,1,6.0,-0.1,1,155.50999450683594
QQQ,HL,BOTTOM,1.0,sigma_tide,0.0909,2,1,4.2,-0.0,1,157.25999450683594
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,184.61000061035156
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,186.74000549316406
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,186.41000366210938
QQQ,HL,BOTTOM,1.0,sigma_tide,0.2364,6,2,12.28,-0.4,2,163.22999572753906
QQQ,HL,BOTTOM,1.0,sigma_tide,0.2606,6,1,5.46,-0.4,1,165.9199981689453
QQQ,LH,TOP,4.0,kf_price_filt_vel,-0.2424,6,0,0.0,0.3,0,170.24000549316406
