feature,scale_pct,ticker,n_total,n_near,n_far,kl_near_vs_far,kl_near_to_far,kl_far_to_near,cohens_d,abs_cohens_d,overlap,mann_whitney_p,rank_biserial_r,near_mean,near_std,near_median,far_mean,far_std,far_median,lift_max,lift_lo,lift_hi,prec_lo,prec_hi,base_rate,selectivity_5v3,is_significant,kl_near_vs_far_rank,abs_cohens_d_rank,lift_max_rank,overlap_inv_rank,composite_score
tide_accel,5,UNIVERSAL,91252,25542,42298,0.1697,0.2021,0.1372,-0.2919,0.2919,0.7945,0.0000,0.1840,-0.0002,0.0017,-0.0003,0.0002,0.0011,0.0001,2.5186,2.5186,1.5257,0.6112,0.3703,0.2799,-0.1549,True,0.8870,0.7884,0.8899,0.7855,0.8428
d_tide_slope,5,UNIVERSAL,91252,25542,42298,0.1695,0.2019,0.1372,-0.2920,0.2920,0.7945,0.0000,0.1841,-0.0002,0.0017,-0.0003,0.0002,0.0011,0.0001,2.5184,2.5184,1.5254,0.6113,0.3703,0.2799,-0.1550,True,0.8841,0.7913,0.8870,0.7884,0.8425
vwap_spread_tide_wave,7,UNIVERSAL,91252,16805,56142,0.1575,0.1867,0.1282,0.2710,0.2710,0.8028,0.0000,-0.1449,-2.9826,15.5210,-3.0506,-5.9616,9.2149,-5.7004,3.1064,1.9356,3.1064,0.2956,0.4745,0.1842,0.0000,True,0.8406,0.7710,0.9710,0.7652,0.8407
vwap_spread_tide_wave,5,UNIVERSAL,91252,25542,42298,0.1831,0.2218,0.1444,0.2051,0.2051,0.7800,0.0000,-0.1111,-3.6722,14.9432,-3.8815,-5.9935,8.3987,-5.7168,2.5594,1.7595,2.5594,0.4199,0.6108,0.2799,0.1107,True,0.9072,0.6899,0.9072,0.8464,0.8407
conj_current_tide,7,UNIVERSAL,91252,16805,56142,0.1499,0.1735,0.1263,-0.3137,0.3137,0.8072,0.0000,0.1560,-0.0459,0.2962,-0.0364,0.0180,0.1664,0.0130,3.0830,3.0830,1.8180,0.4716,0.2781,0.1842,0.0000,True,0.8116,0.8174,0.9681,0.7507,0.8400
current_slope,5,UNIVERSAL,91252,25542,42298,0.1622,0.1944,0.1299,-0.3004,0.3004,0.7991,0.0000,0.1425,0.0027,0.2895,0.0251,0.0672,0.1526,0.0683,2.5766,2.5766,1.7784,0.6204,0.4282,0.2799,-0.1729,True,0.8493,0.8029,0.9159,0.7768,0.8399
vwap_sigma_tide,3,UNIVERSAL,91252,42076,22946,0.1679,0.1847,0.1511,-0.5591,0.5591,0.7743,0.0000,0.3094,0.4511,1.3534,0.6474,1.1595,1.0908,1.3866,1.6440,1.6440,0.8288,0.7338,0.3699,0.4611,0.0000,True,0.8783,0.9797,0.6145,0.8841,0.8388
kf_rsi_pred_val,7,UNIVERSAL,91252,16805,56142,0.1278,0.1402,0.1154,-0.4734,0.4734,0.7943,0.0000,0.2507,49.2283,14.4265,48.4734,55.2943,12.2904,55.6849,2.5436,2.5436,0.9056,0.4186,0.1490,0.1842,0.0000,True,0.7217,0.9391,0.9014,0.7913,0.8349
vwap_spread_current_wave,7,UNIVERSAL,91252,16805,56142,0.1353,0.1574,0.1131,0.3899,0.3899,0.8125,0.0000,-0.1806,0.1516,4.6406,-0.1764,-1.1571,2.8630,-1.0685,2.9718,1.4989,2.9718,0.2347,0.4653,0.1842,0.0000,True,0.7478,0.8870,0.9594,0.7333,0.8326
current_slope,3,UNIVERSAL,91252,42076,22946,0.2079,0.2583,0.1576,-0.2193,0.2193,0.7737,0.0000,0.1243,0.0206,0.2638,0.0361,0.0704,0.1353,0.0725,1.8887,1.8887,1.5651,0.7854,0.6509,0.4611,0.0000,True,0.9478,0.7043,0.7565,0.8870,0.8270
kf_price_pred_val,3,UNIVERSAL,91252,42076,22946,0.3584,0.4525,0.2643,-0.0888,0.0888,0.7011,0.0000,0.0646,-0.0082,2.0637,0.0045,0.1459,0.8504,0.1210,2.1174,2.1174,1.9259,0.8380,0.7622,0.4611,0.0000,False,0.9942,0.5159,0.7942,0.9913,0.8241
vwap_spread_tide_wave,3,UNIVERSAL,91252,42076,22946,0.2989,0.4352,0.1627,0.1538,0.1538,0.7708,0.0000,-0.0956,-4.2692,13.7452,-4.3798,-6.1074,7.6353,-5.8684,1.8554,1.5092,1.8554,0.6277,0.7716,0.4611,0.0000,False,0.9913,0.6174,0.7507,0.8986,0.8191
d_tide_slope,3,UNIVERSAL,91252,42076,22946,0.2003,0.2421,0.1585,-0.2317,0.2317,0.7749,0.0000,0.1777,-0.0001,0.0016,-0.0002,0.0002,0.0009,0.0001,1.8241,1.8241,1.4095,0.7673,0.5929,0.4611,0.0000,True,0.9391,0.7130,0.7304,0.8725,0.8171
tide_accel,3,UNIVERSAL,91252,42076,22946,0.2002,0.2420,0.1585,-0.2316,0.2316,0.7747,0.0000,0.1776,-0.0001,0.0016,-0.0002,0.0002,0.0009,0.0001,1.8239,1.8239,1.4095,0.7672,0.5929,0.4611,0.0000,True,0.9362,0.7101,0.7275,0.8783,0.8159
geo_velocity_align,5,UNIVERSAL,91252,25542,42298,0.1415,0.1546,0.1284,0.5178,0.5178,0.7801,0.0000,-0.2569,-0.0936,0.6830,-0.1613,-0.4128,0.5726,-0.6638,1.7788,0.9314,1.7788,0.2444,0.4668,0.2799,0.2133,True,0.7710,0.9551,0.6855,0.8406,0.8096
geo_exit_align,5,UNIVERSAL,91252,25542,42298,0.1415,0.1546,0.1284,-0.5178,0.5178,0.7801,0.0000,0.2569,0.0936,0.6830,0.1613,0.4128,0.5726,0.6638,1.7788,1.7788,0.9314,0.4668,0.2444,0.2799,-0.2133,True,0.7681,0.9551,0.6855,0.8435,0.8093
geo_velocity_align,3,UNIVERSAL,91252,42076,22946,0.1678,0.1847,0.1510,0.5439,0.5439,0.7546,0.0000,-0.2840,-0.1492,0.6671,-0.2911,-0.4883,0.5343,-0.7157,1.4607,0.9004,1.4607,0.4014,0.6512,0.4611,0.0000,True,0.8739,0.9696,0.4449,0.9522,0.8062
geo_exit_align,3,UNIVERSAL,91252,42076,22946,0.1678,0.1847,0.1510,-0.5439,0.5439,0.7546,0.0000,0.2840,0.1492,0.6671,0.2911,0.4883,0.5343,0.7157,1.4607,1.4607,0.9004,0.6512,0.4014,0.4611,0.0000,True,0.8739,0.9696,0.4449,0.9522,0.8062
kf_price_filt_vel,7,UNIVERSAL,91252,16805,56142,0.2181,0.2498,0.1864,0.0235,0.0235,0.7472,0.1451,0.0074,0.0110,0.8262,-0.0147,-0.0009,0.3558,-0.0080,3.4649,3.3416,3.4649,0.4633,0.4804,0.1842,0.0000,False,0.9580,0.2826,0.9957,0.9609,0.7991
kf_price_pred_vel,7,UNIVERSAL,91252,16805,56142,0.2181,0.2498,0.1864,0.0235,0.0235,0.7472,0.1451,0.0074,0.0110,0.8262,-0.0147,-0.0009,0.3558,-0.0080,3.4649,3.3416,3.4649,0.4633,0.4804,0.1842,0.0000,False,0.9580,0.2826,0.9957,0.9609,0.7991
sigma_tide,7,UNIVERSAL,91252,16805,56142,0.1149,0.1340,0.0958,-0.4053,0.4053,0.8304,0.0000,0.1959,-0.3554,1.6599,-0.3089,0.2060,1.2915,0.2484,2.8891,2.8891,1.2058,0.4620,0.1928,0.1842,0.0000,True,0.6754,0.8986,0.9536,0.6551,0.7967
conj_current_tide,3,UNIVERSAL,91252,42076,22946,0.1956,0.2414,0.1497,-0.1793,0.1793,0.7853,0.0000,0.1220,-0.0161,0.2586,-0.0134,0.0239,0.1355,0.0212,1.8549,1.8549,1.5790,0.7749,0.6597,0.4611,0.0000,False,0.9275,0.6551,0.7478,0.8203,0.7930
fear_level,3,UNIVERSAL,91252,42076,22946,0.1530,0.1730,0.1329,0.4844,0.4844,0.7754,0.0000,-0.2649,2.1830,1.4682,2.0000,1.5089,1.2394,2.0000,1.5659,0.8838,1.5659,0.3942,0.6985,0.4611,0.0000,True,0.8232,0.9449,0.5391,0.8667,0.7913
conj_current_tide,5,UNIVERSAL,91252,25542,42298,0.1458,0.1719,0.1197,-0.2422,0.2422,0.8136,0.0000,0.1349,-0.0305,0.2828,-0.0227,0.0208,0.1539,0.0165,2.5287,2.5287,1.7496,0.6103,0.4223,0.2799,-0.1421,True,0.7942,0.7304,0.8986,0.7275,0.7910
vwap_sigma_wave,3,UNIVERSAL,91252,42076,22946,0.1884,0.1918,0.1850,-0.5857,0.5857,0.7253,0.0000,0.3354,0.0521,1.3473,0.0725,0.8192,1.2376,1.1486,1.2905,1.2905,0.7889,0.5911,0.3613,0.4611,0.0000,True,0.9101,0.9884,0.2870,0.9826,0.7884
kf_price_filt_vel,5,UNIVERSAL,91252,25542,42298,0.2554,0.3005,0.2103,0.0157,0.0157,0.7308,0.1804,0.0061,0.0071,0.7516,-0.0111,-0.0012,0.3214,-0.0083,2.8628,2.8410,2.8628,0.6292,0.6340,0.2799,0.0099,False,0.9783,0.2246,0.9493,0.9725,0.7814
kf_price_pred_vel,5,UNIVERSAL,91252,25542,42298,0.2554,0.3005,0.2103,0.0157,0.0157,0.7308,0.1804,0.0061,0.0071,0.7516,-0.0111,-0.0012,0.3214,-0.0083,2.8628,2.8410,2.8628,0.6292,0.6340,0.2799,0.0099,False,0.9783,0.2246,0.9493,0.9725,0.7814
fear_level,5,UNIVERSAL,91252,25542,42298,0.1165,0.1295,0.1035,0.4447,0.4447,0.8009,0.0000,-0.2345,2.2828,1.5011,2.0000,1.6705,1.2961,2.0000,1.9184,0.8580,1.9184,0.2277,0.5091,0.2799,0.1736,True,0.6783,0.9304,0.7623,0.7710,0.7809
geo_phase_angle,3,UNIVERSAL,91252,42076,22946,0.1744,0.1822,0.1666,-0.4557,0.4557,0.7394,0.0000,0.2332,0.0297,1.4674,0.2461,0.6563,1.1868,1.1684,1.3496,1.3496,1.2432,0.5898,0.5434,0.4611,0.0000,True,0.8957,0.9362,0.3333,0.9652,0.7791
vwap_spread_current_wave,5,UNIVERSAL,91252,25542,42298,0.1264,0.1502,0.1026,0.3347,0.3347,0.8281,0.0000,-0.1714,-0.1034,4.4360,-0.3722,-1.2627,2.7125,-1.1847,2.4094,1.4663,2.4094,0.3620,0.5948,0.2799,0.1780,True,0.7159,0.8435,0.8725,0.6638,0.7765
vwap_spread_tide_current,5,UNIVERSAL,91252,25542,42298,0.1566,0.1867,0.1264,0.1327,0.1327,0.7930,0.0000,-0.0631,-3.3536,12.6199,-3.4978,-4.6268,7.1706,-4.3630,2.3973,1.8267,2.3973,0.4389,0.5759,0.2799,0.0744,False,0.8348,0.5942,0.8696,0.7971,0.7758
fear_level,7,UNIVERSAL,91252,16805,56142,0.1034,0.1150,0.0917,0.4248,0.4248,0.8172,0.0000,-0.2189,2.3449,1.5317,2.0000,1.7594,1.3290,2.0000,2.2287,0.8588,2.2287,0.1474,0.3824,0.1842,0.0000,True,0.6435,0.9159,0.8261,0.7130,0.7712
vwap_wave,5,UNIVERSAL,91252,25542,42298,0.1503,0.1574,0.1432,-0.1932,0.1932,0.8183,0.0000,0.1829,106.8190,116.4818,76.2750,130.2489,124.1082,98.0600,2.3649,2.3649,0.8827,0.6064,0.2263,0.2799,-0.1085,False,0.8145,0.6812,0.8580,0.7043,0.7700
channel_sentiment,3,UNIVERSAL,91252,42076,22946,0.1538,0.1607,0.1469,-0.3421,0.3421,0.7753,0.0000,0.1798,-0.0674,0.4652,-0.1797,0.0804,0.3630,0.1840,1.5650,1.5650,1.1884,0.6808,0.5170,0.4611,0.0000,True,0.8261,0.8551,0.5362,0.8696,0.7696
vwap_spread_tide_current,3,UNIVERSAL,91252,42076,22946,0.2240,0.2996,0.1484,0.0902,0.0902,0.7831,0.0000,-0.0472,-3.6939,11.6474,-3.7198,-4.6078,6.4931,-4.3699,1.8296,1.5581,1.8296,0.6523,0.7659,0.4611,0.0000,False,0.9652,0.5246,0.7333,0.8261,0.7693
reg_value_current,5,UNIVERSAL,91252,25542,42298,0.1442,0.1574,0.1310,-0.1964,0.1964,0.8139,0.0000,0.1863,107.3110,117.5449,75.6400,131.3482,125.1857,98.4950,2.3728,2.3728,0.8846,0.6084,0.2268,0.2799,-0.1104,False,0.7884,0.6841,0.8609,0.7246,0.7677
geo_phase_angle,5,UNIVERSAL,91252,25542,42298,0.1421,0.1476,0.1365,-0.4021,0.4021,0.7653,0.0000,0.2046,-0.0589,1.4932,-0.1238,0.4881,1.2738,1.0619,1.5312,1.5312,1.3686,0.3935,0.3517,0.2799,-0.1541,True,0.7768,0.8928,0.5043,0.9159,0.7655
geo_phase_angle,7,UNIVERSAL,91252,16805,56142,0.1311,0.1377,0.1245,-0.3794,0.3794,0.7748,0.0000,0.1937,-0.1154,1.5054,-0.4032,0.4012,1.3156,0.9751,1.6149,1.6149,1.3351,0.2686,0.2221,0.1842,0.0000,True,0.7304,0.8812,0.5855,0.8754,0.7609
tide_slope,3,UNIVERSAL,91252,42076,22946,0.2962,0.4583,0.1340,-0.0898,0.0898,0.8003,0.0000,0.0291,0.0367,0.1260,0.0415,0.0464,0.0657,0.0437,1.7999,1.7999,1.5540,0.7541,0.6511,0.4611,0.0000,False,0.9855,0.5188,0.7101,0.7739,0.7577
vwap_sigma_wave,5,UNIVERSAL,91252,25542,42298,0.1224,0.1270,0.1179,-0.4890,0.4890,0.7771,0.0000,0.2704,-0.0329,1.3906,-0.0876,0.6144,1.2816,0.9010,1.5690,1.5690,0.8132,0.4232,0.2193,0.2799,-0.1609,True,0.7072,0.9478,0.5420,0.8609,0.7568
tide_slope,5,UNIVERSAL,91252,25542,42298,0.1522,0.1813,0.1231,-0.1276,0.1276,0.8078,0.0000,0.0433,0.0332,0.1379,0.0403,0.0464,0.0746,0.0433,2.3461,2.3461,1.8378,0.5685,0.4453,0.2799,-0.0697,False,0.8203,0.5913,0.8493,0.7478,0.7558
vwap_spread_tide_current,7,UNIVERSAL,91252,16805,56142,0.1258,0.1474,0.1042,0.1907,0.1907,0.8229,0.0000,-0.0966,-2.9085,13.0909,-3.0265,-4.6901,7.8820,-4.4702,2.7924,2.0047,2.7924,0.3092,0.4306,0.1842,0.0000,False,0.7130,0.6754,0.9449,0.6812,0.7552
sigma_tide,5,UNIVERSAL,91252,25542,42298,0.1050,0.1216,0.0884,-0.4032,0.4032,0.8355,0.0000,0.2067,-0.2826,1.5850,-0.2343,0.2799,1.2665,0.3250,2.2561,2.2561,1.1119,0.5744,0.2831,0.2799,-0.1579,True,0.6493,0.8957,0.8319,0.6290,0.7525
vwap_spread_current_wave,3,UNIVERSAL,91252,42076,22946,0.1557,0.2002,0.1111,0.2790,0.2790,0.8175,0.0000,-0.1676,-0.3889,4.0969,-0.5445,-1.3984,2.5165,-1.3365,1.7440,1.3570,1.7440,0.5798,0.7451,0.4611,0.0000,True,0.8290,0.7768,0.6696,0.7101,0.7523
kf_price_filt_vel,3,UNIVERSAL,91252,42076,22946,0.3887,0.5147,0.2627,0.0136,0.0136,0.7006,0.9485,0.0003,0.0046,0.6568,-0.0082,-0.0029,0.2654,-0.0096,2.1420,2.1420,2.1179,0.8394,0.8299,0.4611,0.0000,False,0.9986,0.1928,0.8130,0.9957,0.7501
kf_price_pred_vel,3,UNIVERSAL,91252,42076,22946,0.3887,0.5147,0.2627,0.0136,0.0136,0.7006,0.9485,0.0003,0.0046,0.6568,-0.0082,-0.0029,0.2654,-0.0096,2.1420,2.1420,2.1179,0.8394,0.8299,0.4611,0.0000,False,0.9986,0.1928,0.8130,0.9957,0.7501
reg_value_tide,5,UNIVERSAL,91252,25542,42298,0.1424,0.1582,0.1266,-0.1817,0.1817,0.8225,0.0000,0.1760,108.3045,118.5213,76.3200,130.6125,125.2617,98.2250,2.3472,2.3472,0.8879,0.6025,0.2279,0.2799,-0.1017,False,0.7797,0.6609,0.8522,0.6870,0.7496
vwap_tide,5,UNIVERSAL,91252,25542,42298,0.1572,0.1576,0.1568,-0.1770,0.1770,0.8344,0.0000,0.1677,102.8025,109.6067,73.5500,122.8103,115.0090,92.9550,2.3084,2.3084,0.9306,0.5967,0.2405,0.2799,-0.1003,False,0.8377,0.6464,0.8377,0.6348,0.7493
