feature,scale_pct,ticker,n_total,n_near,n_far,kl_near_vs_far,kl_near_to_far,kl_far_to_near,cohens_d,abs_cohens_d,overlap,mann_whitney_p,rank_biserial_r,near_mean,near_std,near_median,far_mean,far_std,far_median,lift_max,lift_lo,lift_hi,prec_lo,prec_hi,base_rate,selectivity_5v3,is_significant,kl_near_vs_far_rank,abs_cohens_d_rank,lift_max_rank,overlap_inv_rank,composite_score
reg_value_wave,7,UNIVERSAL,91252,16805,56142,0.1075,0.1210,0.0940,-0.1925,0.1925,0.8360,0.0000,0.1773,104.8901,115.6682,74.4600,128.5542,125.0316,95.7900,2.5966,2.5966,0.8258,0.4341,0.1381,0.1842,0.0000,False,0.6551,0.6783,0.9304,0.6232,0.7233
kf_price_innov,3,UNIVERSAL,91252,42076,22946,0.2964,0.3757,0.2171,0.0050,0.0050,0.7290,0.0441,0.0095,0.0185,3.1352,-0.0469,0.0055,1.2876,-0.0171,2.0437,2.0047,2.0437,0.7988,0.8144,0.4611,0.0000,False,0.9884,0.1159,0.7855,0.9768,0.7172
channel_sentiment,7,UNIVERSAL,91252,16805,56142,0.0884,0.0942,0.0827,-0.3042,0.3042,0.8343,0.0000,0.1589,-0.1015,0.4860,-0.2185,0.0269,0.4012,0.1587,2.2272,2.2272,1.3644,0.3696,0.2264,0.1842,0.0000,True,0.6029,0.8058,0.8232,0.6377,0.7157
geo_state_norm,7,UNIVERSAL,91252,16805,56142,0.0720,0.0753,0.0687,0.4335,0.4335,0.8491,0.0000,-0.2200,2.4080,1.0574,2.2614,2.0190,0.8436,1.9345,2.0748,0.6330,2.0748,0.1115,0.3655,0.1842,0.0000,True,0.5739,0.9217,0.7884,0.5739,0.7145
reg_value_tide,7,UNIVERSAL,91252,16805,56142,0.1169,0.1261,0.1077,-0.1677,0.1677,0.8371,0.0000,0.1611,106.9265,118.2765,75.3500,127.5246,124.1988,95.3400,2.5730,2.5730,0.8723,0.4299,0.1457,0.1842,0.0000,False,0.6812,0.6290,0.9130,0.6174,0.7133
residual_std_wave,7,UNIVERSAL,91252,16805,56142,0.0988,0.1029,0.0947,0.2149,0.2149,0.8252,0.0000,-0.0851,2.2272,2.6551,1.2814,1.7439,2.1122,1.0098,2.3825,2.3825,1.5807,0.3911,0.2595,0.1842,0.0000,True,0.6174,0.6986,0.8667,0.6783,0.7122
tension_wave,3,UNIVERSAL,91252,42076,22946,0.1344,0.1390,0.1297,0.4825,0.4825,0.7631,0.0000,-0.2766,-0.1516,1.2733,-0.1357,-0.7434,1.1351,-0.9625,1.2716,0.9006,1.2716,0.4107,0.5799,0.4611,0.0000,True,0.7449,0.9420,0.2638,0.9246,0.7099
vwap_tide,7,UNIVERSAL,91252,16805,56142,0.1250,0.1220,0.1281,-0.1618,0.1618,0.8438,0.0000,0.1488,101.6591,108.3663,72.7300,120.0031,114.8106,90.9250,2.5016,2.5016,0.9168,0.4226,0.1549,0.1842,0.0000,False,0.7101,0.6261,0.8841,0.5884,0.7083
reg_value_wave,3,UNIVERSAL,91252,42076,22946,0.1412,0.1694,0.1131,-0.1843,0.1843,0.8329,0.0000,0.1714,112.1255,120.2799,81.6250,134.5118,123.5522,100.6700,1.8081,1.8081,0.8823,0.7936,0.3872,0.4611,0.0000,False,0.7652,0.6667,0.7217,0.6464,0.7059
kf_price_innov,7,UNIVERSAL,91252,16805,56142,0.1672,0.1909,0.1435,0.0057,0.0057,0.7791,0.0100,0.0131,0.0140,3.9301,-0.0708,0.0003,1.7007,-0.0294,3.0674,3.0674,3.0065,0.4414,0.4326,0.1842,0.0000,False,0.8667,0.1362,0.9652,0.8493,0.7052
residual_std_wave,5,UNIVERSAL,91252,25542,42298,0.0993,0.1053,0.0934,0.2336,0.2336,0.8276,0.0000,-0.0879,2.1892,2.6553,1.2429,1.6631,1.9683,0.9812,2.2135,2.2135,1.4942,0.5587,0.3772,0.2799,0.0616,True,0.6261,0.7159,0.8174,0.6696,0.7051
residual_std_wave,3,UNIVERSAL,91252,42076,22946,0.1142,0.1176,0.1108,0.2690,0.2690,0.8052,0.0000,-0.1438,2.1275,2.5506,1.2312,1.5068,1.7771,0.8853,1.6914,1.6914,1.3330,0.7355,0.5797,0.4611,0.0000,True,0.6696,0.7652,0.6319,0.7594,0.7020
kf_price_uncert,3,UNIVERSAL,91252,42076,22946,0.1677,0.1822,0.1532,0.2432,0.2432,0.7829,0.0000,-0.2718,1.0288,1.4384,0.3447,0.6970,1.2167,0.2733,1.3892,0.7500,1.3892,0.3433,0.6359,0.4611,0.0000,True,0.8696,0.7333,0.3681,0.8290,0.7020
reg_value_current,3,UNIVERSAL,91252,42076,22946,0.1440,0.1724,0.1156,-0.1728,0.1728,0.8360,0.0000,0.1649,112.5422,120.7917,81.8000,133.5028,122.2807,100.0750,1.8075,1.8075,0.8931,0.7930,0.3918,0.4611,0.0000,False,0.7855,0.6406,0.7188,0.6261,0.7007
compression_ratio,7,UNIVERSAL,91252,16805,56142,0.0670,0.0709,0.0631,0.4097,0.4097,0.8534,0.0000,-0.2062,0.4375,0.2349,0.3882,0.3558,0.1875,0.3172,1.8702,0.6995,1.8702,0.1234,0.3299,0.1842,0.0000,True,0.5623,0.9072,0.7536,0.5681,0.6975
conj_wave_current,3,UNIVERSAL,91252,42076,22946,0.1210,0.1401,0.1019,-0.2740,0.2740,0.8206,0.0000,0.1920,-0.0261,0.3454,-0.0242,0.0581,0.2215,0.0394,1.6326,1.6326,1.2616,0.7070,0.5464,0.4611,0.0000,True,0.7043,0.7739,0.5971,0.6986,0.6938
kf_price_uncert,7,UNIVERSAL,91252,16805,56142,0.1320,0.1398,0.1241,0.2681,0.2681,0.8072,0.0000,-0.2529,1.1377,1.4897,0.3447,0.7807,1.2802,0.2854,1.5510,0.5591,1.5510,0.1023,0.2838,0.1842,0.0000,True,0.7362,0.7623,0.5246,0.7536,0.6933
rsi_conviction,3,UNIVERSAL,91252,42076,22946,0.1666,0.1681,0.1651,-0.3401,0.3401,0.7666,0.0000,0.2030,0.0359,0.2587,0.1400,0.1221,0.2432,0.2000,1.1351,0.8649,1.1098,0.4003,0.5136,0.4611,0.0000,True,0.8638,0.8522,0.1536,0.9101,0.6926
vwap_current,3,UNIVERSAL,91252,42076,22946,0.1431,0.1696,0.1166,-0.1590,0.1590,0.8354,0.0000,0.1564,111.4259,118.9987,81.4800,130.2867,118.0079,98.7600,1.7962,1.7962,0.9058,0.7875,0.3971,0.4611,0.0000,False,0.7826,0.6232,0.7014,0.6319,0.6923
conj_wave_current,5,UNIVERSAL,91252,25542,42298,0.0918,0.1045,0.0792,-0.2608,0.2608,0.8434,0.0000,0.1599,-0.0419,0.3756,-0.0332,0.0354,0.2358,0.0230,2.0849,2.0849,1.3913,0.5297,0.3535,0.2799,-0.1163,True,0.6116,0.7565,0.7913,0.5913,0.6887
vwap_tide,3,UNIVERSAL,91252,42076,22946,0.1489,0.1662,0.1315,-0.1537,0.1537,0.8396,0.0000,0.1505,107.2409,112.7435,79.3000,124.4710,110.8911,95.1900,1.7690,1.7690,0.9255,0.7780,0.4070,0.4611,0.0000,False,0.8058,0.6145,0.6812,0.6087,0.6874
vwap_wave,3,UNIVERSAL,91252,42076,22946,0.1385,0.1658,0.1111,-0.1699,0.1699,0.8362,0.0000,0.1630,111.9242,119.9048,81.7450,132.3540,120.8403,99.6550,1.8024,1.8024,0.8897,0.7909,0.3904,0.4611,0.0000,False,0.7507,0.6348,0.7159,0.6203,0.6870
kf_rsi_uncert,7,UNIVERSAL,91252,16805,56142,0.1474,0.1551,0.1398,-0.0431,0.0431,0.7882,0.1120,-0.0081,20.9773,13.3452,20.7896,21.6031,14.8549,19.1622,1.8412,1.8412,0.5881,0.3215,0.1027,0.1842,0.0000,False,0.7971,0.3942,0.7391,0.8116,0.6848
reg_value_tide,3,UNIVERSAL,91252,42076,22946,0.1416,0.1711,0.1121,-0.1586,0.1586,0.8376,0.0000,0.1580,113.1773,122.0677,81.9850,132.4663,120.8037,99.8950,1.7898,1.7898,0.8988,0.7855,0.3945,0.4611,0.0000,False,0.7739,0.6203,0.6957,0.6145,0.6841
compression_ratio,5,UNIVERSAL,91252,25542,42298,0.0773,0.0808,0.0738,0.4243,0.4243,0.8382,0.0000,-0.2281,0.4300,0.2287,0.3839,0.3446,0.1826,0.3061,1.6811,0.7305,1.6811,0.1986,0.4570,0.2799,0.1620,True,0.5826,0.9130,0.6290,0.6116,0.6826
tension_wave,5,UNIVERSAL,91252,25542,42298,0.0888,0.0908,0.0867,0.4082,0.4082,0.8106,0.0000,-0.2315,-0.0731,1.2845,-0.0218,-0.5740,1.1912,-0.7933,1.5002,0.8723,1.5002,0.2387,0.4105,0.2799,0.1575,True,0.6058,0.9043,0.4870,0.7449,0.6786
wave_window,3,UNIVERSAL,91252,42076,22946,0.1342,0.1366,0.1318,0.3610,0.3610,0.7722,0.0000,-0.1920,27.5455,10.2912,30.0000,23.7798,10.6818,21.0000,1.2353,0.7647,1.2038,0.3488,0.5491,0.4611,0.0000,True,0.7420,0.8667,0.2348,0.8899,0.6759
kf_price_uncert,5,UNIVERSAL,91252,25542,42298,0.1405,0.1514,0.1296,0.2361,0.2361,0.7977,0.0000,-0.2530,1.0743,1.4493,0.3447,0.7577,1.2706,0.2733,1.4585,0.6729,1.4585,0.1870,0.4053,0.2799,0.0805,True,0.7594,0.7217,0.4406,0.7797,0.6743
conj_wave_current,7,UNIVERSAL,91252,16805,56142,0.0744,0.0837,0.0651,-0.2306,0.2306,0.8596,0.0000,0.1334,-0.0456,0.4009,-0.0374,0.0211,0.2461,0.0134,2.3460,2.3460,1.5823,0.3844,0.2593,0.1842,0.0000,True,0.5768,0.7072,0.8464,0.5507,0.6716
tension_wave,7,UNIVERSAL,91252,16805,56142,0.0711,0.0724,0.0698,0.3726,0.3726,0.8314,0.0000,-0.2105,-0.0313,1.2870,0.0431,-0.4892,1.2111,-0.6921,1.5862,0.8298,1.5862,0.1486,0.2840,0.1842,0.0000,True,0.5710,0.8725,0.5739,0.6493,0.6628
kf_rsi_uncert,3,UNIVERSAL,91252,42076,22946,0.1803,0.1933,0.1673,0.0408,0.0408,0.7578,0.0000,-0.0646,21.4244,13.7868,20.7896,20.8452,14.9345,16.8776,1.4484,1.4484,0.7661,0.6496,0.3436,0.4611,0.0000,False,0.9043,0.3797,0.4319,0.9420,0.6626
compression_ratio,3,UNIVERSAL,91252,42076,22946,0.1008,0.1031,0.0984,0.4376,0.4376,0.8147,0.0000,-0.2615,0.4162,0.2184,0.3710,0.3264,0.1780,0.2870,1.3782,0.7540,1.3782,0.3443,0.6294,0.4611,0.0000,True,0.6406,0.9275,0.3594,0.7217,0.6583
kf_rvol_uncert,3,UNIVERSAL,91252,42076,22946,0.1406,0.1490,0.1322,0.2016,0.2016,0.7907,0.0000,-0.0751,0.0862,0.1294,0.0419,0.0633,0.0755,0.0397,1.3973,0.8732,1.3973,0.3969,0.6352,0.4611,0.0000,True,0.7623,0.6870,0.3884,0.8029,0.6581
wave_window,5,UNIVERSAL,91252,25542,42298,0.1119,0.1127,0.1110,0.3369,0.3369,0.7938,0.0000,-0.1828,28.1200,10.1229,30.0000,24.5781,10.7427,21.0000,1.3605,0.6753,1.3605,0.1855,0.3737,0.2799,0.1424,True,0.6609,0.8464,0.3507,0.7942,0.6564
residual_std_current,7,UNIVERSAL,91252,16805,56142,0.0855,0.0907,0.0803,0.0944,0.0944,0.8419,0.0000,-0.0321,3.1583,3.7603,1.9920,2.8232,3.4817,1.7321,2.4791,2.4791,1.4278,0.4083,0.2352,0.1842,0.0000,False,0.5942,0.5391,0.8812,0.5942,0.6522
kf_rsi_uncert,5,UNIVERSAL,91252,25542,42298,0.1559,0.1668,0.1449,-0.0208,0.0208,0.7806,0.0001,-0.0174,21.1336,13.7099,20.7896,21.4335,14.8191,16.8776,1.7447,1.7447,0.7040,0.4643,0.1873,0.2799,-0.0537,False,0.8319,0.2638,0.6754,0.8377,0.6519
geo_state_norm,5,UNIVERSAL,91252,25542,42298,0.0532,0.0565,0.0499,0.3561,0.3561,0.8746,0.0000,-0.1830,2.3296,1.0253,2.1916,2.0070,0.8257,1.9299,1.7840,0.7475,1.7840,0.2020,0.4821,0.2799,0.2823,True,0.5246,0.8609,0.6899,0.5101,0.6471
residual_std_current,5,UNIVERSAL,91252,25542,42298,0.0853,0.0940,0.0766,0.0969,0.0969,0.8493,0.0007,-0.0154,3.1240,3.8327,1.9051,2.7807,3.3571,1.7372,2.2903,2.2903,1.4141,0.5803,0.3583,0.2799,0.0282,False,0.5913,0.5420,0.8348,0.5710,0.6358
kf_rvol_uncert,5,UNIVERSAL,91252,25542,42298,0.1128,0.1188,0.1069,0.1780,0.1780,0.8068,0.0000,-0.0808,0.0877,0.1323,0.0419,0.0683,0.0921,0.0397,1.4737,0.8337,1.4737,0.2296,0.4058,0.2799,0.0302,False,0.6638,0.6493,0.4754,0.7565,0.6316
wave_window,7,UNIVERSAL,91252,16805,56142,0.0919,0.0930,0.0908,0.2947,0.2947,0.8122,0.0000,-0.1614,28.2602,10.1371,30.0000,25.1455,10.6958,21.0000,1.4026,0.6832,1.4026,0.1232,0.2529,0.1842,0.0000,True,0.6145,0.7942,0.4000,0.7391,0.6307
spread_tide_wave,7,UNIVERSAL,91252,16805,56142,0.0469,0.0510,0.0429,-0.2701,0.2701,0.8862,0.0000,0.1428,-0.2614,1.8636,-0.2546,0.1910,1.6141,0.2059,1.9440,1.9440,1.0734,0.3362,0.1856,0.1842,0.0000,True,0.5130,0.7681,0.7681,0.4580,0.6296
sigma_current,5,UNIVERSAL,91252,25542,42298,0.0539,0.0567,0.0512,-0.3285,0.3285,0.8698,0.0000,0.1802,-0.2462,1.4485,-0.2206,0.1976,1.2887,0.3102,1.6964,1.6964,1.0278,0.4506,0.2730,0.2799,-0.0917,True,0.5275,0.8319,0.6348,0.5217,0.6293
sigma_current,3,UNIVERSAL,91252,42076,22946,0.0839,0.0858,0.0820,-0.4071,0.4071,0.8304,0.0000,0.2330,-0.1959,1.3972,-0.1641,0.3550,1.2691,0.5134,1.3988,1.3988,0.9268,0.6303,0.4176,0.4611,0.0000,True,0.5855,0.9014,0.3913,0.6522,0.6293
kf_rvol_uncert,7,UNIVERSAL,91252,16805,56142,0.1002,0.1039,0.0964,0.1717,0.1717,0.8208,0.0000,-0.0723,0.0896,0.1362,0.0419,0.0710,0.0984,0.0419,1.5710,0.7183,1.5710,0.1302,0.2848,0.1842,0.0000,False,0.6377,0.6377,0.5449,0.6928,0.6255
d_tide_accel,5,UNIVERSAL,91252,25542,42298,0.0991,0.1105,0.0876,-0.0557,0.0557,0.8336,0.0000,0.0355,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,2.1399,2.1399,1.9201,0.5211,0.4676,0.2799,-0.0126,False,0.6232,0.4232,0.8029,0.6435,0.6222
d2_tide_slope,5,UNIVERSAL,91252,25542,42298,0.0994,0.1110,0.0878,-0.0542,0.0542,0.8336,0.0000,0.0352,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,2.1377,2.1377,1.9247,0.5205,0.4686,0.2799,-0.0115,False,0.6290,0.4174,0.8000,0.6406,0.6212
d_tide_accel,3,UNIVERSAL,91252,42076,22946,0.1175,0.1345,0.1005,-0.0641,0.0641,0.8206,0.0000,0.0418,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,1.7254,1.7254,1.5839,0.7228,0.6635,0.4611,0.0000,False,0.6841,0.4406,0.6609,0.6957,0.6197
d2_tide_slope,3,UNIVERSAL,91252,42076,22946,0.1186,0.1364,0.1009,-0.0629,0.0629,0.8205,0.0000,0.0416,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,1.7224,1.7224,1.5856,0.7215,0.6642,0.4611,0.0000,False,0.6899,0.4377,0.6522,0.7014,0.6197
rsi_conviction,5,UNIVERSAL,91252,25542,42298,0.1208,0.1280,0.1137,-0.3198,0.3198,0.7960,0.0000,0.1763,0.0214,0.2627,0.1000,0.1023,0.2471,0.2000,1.1413,0.8587,1.1030,0.2407,0.3092,0.2799,-0.1433,True,0.7014,0.8290,0.1594,0.7826,0.6141
d_tide_accel,7,UNIVERSAL,91252,16805,56142,0.0884,0.0974,0.0794,-0.0458,0.0458,0.8401,0.0000,0.0281,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,2.3395,2.3395,2.1851,0.3661,0.3419,0.1842,0.0000,False,0.6000,0.4029,0.8435,0.6029,0.6122
d2_tide_slope,7,UNIVERSAL,91252,16805,56142,0.0888,0.0980,0.0797,-0.0440,0.0440,0.8407,0.0000,0.0278,-0.0000,0.0003,-0.0000,0.0000,0.0002,0.0000,2.3357,2.3357,2.1896,0.3654,0.3426,0.1842,0.0000,False,0.6087,0.3971,0.8406,0.6000,0.6120
rsi_conviction,7,UNIVERSAL,91252,16805,56142,0.1194,0.1302,0.1087,-0.3298,0.3298,0.8109,0.0000,0.1777,0.0080,0.2643,0.0000,0.0914,0.2495,0.2000,1.1485,0.8515,0.9417,0.1579,0.1747,0.1842,0.0000,True,0.6957,0.8406,0.1710,0.7420,0.6100
residual_std_current,3,UNIVERSAL,91252,42076,22946,0.0848,0.0929,0.0767,0.1157,0.1157,0.8439,0.0000,-0.0516,3.0826,3.7377,1.9143,2.6693,3.2492,1.6441,1.7384,1.7384,1.2464,0.7581,0.5435,0.4611,0.0000,False,0.5884,0.5739,0.6667,0.5855,0.6038
kf_conjugation_uncert,7,UNIVERSAL,91252,16805,56142,0.1001,0.1086,0.0916,0.2988,0.2988,0.8253,0.0000,-0.1331,0.0323,0.0362,0.0115,0.0228,0.0302,0.0109,1.2986,0.7014,1.0901,0.1303,0.2024,0.1842,0.0000,True,0.6348,0.7971,0.2957,0.6754,0.5987
residual_std_tide,3,UNIVERSAL,91252,42076,22946,0.1038,0.1206,0.0870,0.0848,0.0848,0.8562,0.0001,-0.0186,5.4382,6.0155,3.4966,4.9513,5.1952,3.1871,1.7368,1.7368,1.1220,0.7578,0.4896,0.4611,0.0000,False,0.6464,0.5043,0.6638,0.5594,0.5978
residual_std_tide,7,UNIVERSAL,91252,16805,56142,0.0752,0.0825,0.0680,0.0373,0.0373,0.8638,0.1752,0.0069,5.4220,5.9625,3.5914,5.2087,5.6475,3.2760,2.4268,2.4268,1.2206,0.4048,0.2036,0.1842,0.0000,False,0.5797,0.3594,0.8754,0.5391,0.5904
residual_std_tide,5,UNIVERSAL,91252,25542,42298,0.0860,0.0971,0.0750,0.0401,0.0401,0.8602,0.0000,0.0192,5.3956,6.0297,3.4596,5.1665,5.5248,3.2918,2.2522,2.2522,1.2064,0.5748,0.3079,0.2799,-0.0180,False,0.5971,0.3768,0.8290,0.5478,0.5901
kf_conjugation_uncert,3,UNIVERSAL,91252,42076,22946,0.1298,0.1475,0.1122,0.2399,0.2399,0.8166,0.0000,-0.1198,0.0290,0.0338,0.0115,0.0213,0.0297,0.0107,1.1470,0.8530,0.9765,0.3970,0.4545,0.4611,0.0000,True,0.7275,0.7275,0.1652,0.7159,0.5846
spread_tide_wave,5,UNIVERSAL,91252,25542,42298,0.0433,0.0474,0.0393,-0.2466,0.2466,0.8913,0.0000,0.1318,-0.1767,1.8373,-0.1600,0.2395,1.5905,0.2573,1.7002,1.7002,1.0674,0.4534,0.2847,0.2799,-0.1225,True,0.4986,0.7391,0.6435,0.4348,0.5822
kf_tension_pred_val,7,UNIVERSAL,91252,16805,56142,0.0574,0.0588,0.0560,0.1215,0.1215,0.8555,0.0000,-0.0819,-0.5856,1.4126,-0.6258,-0.7339,1.1573,-0.8396,1.6500,1.6500,1.5973,0.2810,0.2720,0.1842,0.0000,False,0.5362,0.5826,0.6174,0.5623,0.5733
tension_tide,7,UNIVERSAL,91252,16805,56142,0.0549,0.0566,0.0532,0.1252,0.1252,0.8550,0.0000,-0.0806,-0.5836,1.3919,-0.6418,-0.7348,1.1477,-0.8465,1.6427,1.6427,1.5912,0.2799,0.2711,0.1842,0.0000,False,0.5333,0.5884,0.6116,0.5652,0.5730
kf_rvol_pred_val,7,UNIVERSAL,91252,16805,56142,0.0333,0.0353,0.0313,0.2490,0.2490,0.8989,0.0000,-0.1227,1.1067,0.5636,0.9950,0.9899,0.4369,0.9158,1.8189,1.0008,1.8189,0.1729,0.3143,0.1842,0.0000,True,0.4145,0.7449,0.7246,0.3971,0.5712
kf_conjugation_uncert,5,UNIVERSAL,91252,25542,42298,0.1107,0.1245,0.0969,0.2659,0.2659,0.8281,0.0000,-0.1174,0.0307,0.0350,0.0115,0.0223,0.0298,0.0107,1.1888,0.8112,0.9775,0.2296,0.2767,0.2799,0.1301,True,0.6580,0.7594,0.1971,0.6667,0.5699
sigma_current,7,UNIVERSAL,91252,16805,56142,0.0337,0.0356,0.0319,-0.2474,0.2474,0.8988,0.0000,0.1305,-0.2316,1.4839,-0.1900,0.1017,1.3030,0.1824,1.8018,1.8018,1.1602,0.3103,0.1998,0.1842,0.0000,True,0.4203,0.7420,0.7130,0.4000,0.5699
kf_tension_pred_val,5,UNIVERSAL,91252,25542,42298,0.0620,0.0643,0.0596,0.1011,0.1011,0.8465,0.0000,-0.0633,-0.6139,1.4039,-0.6887,-0.7379,1.1048,-0.8314,1.5846,1.5846,1.5196,0.4118,0.3949,0.2799,0.0585,False,0.5536,0.5507,0.5710,0.5797,0.5625
d_vwap_sigma_tide,3,UNIVERSAL,91252,42076,22946,0.0630,0.0689,0.0570,-0.1047,0.1047,0.8637,0.0000,0.0610,-0.0092,0.2633,-0.0052,0.0156,0.1778,0.0101,1.5844,1.5844,1.3744,0.6807,0.5905,0.4611,0.0000,False,0.5565,0.5536,0.5681,0.5449,0.5564
tension_tide,5,UNIVERSAL,91252,25542,42298,0.0593,0.0616,0.0571,0.1065,0.1065,0.8487,0.0000,-0.0631,-0.6105,1.3831,-0.7020,-0.7397,1.0964,-0.8383,1.5576,1.5576,1.5130,0.4054,0.3938,0.2799,0.0587,False,0.5478,0.5623,0.5304,0.5768,0.5529
spread_tide_wave,3,UNIVERSAL,91252,42076,22946,0.0548,0.0605,0.0491,-0.2545,0.2545,0.8793,0.0000,0.1430,-0.0904,1.7949,-0.0829,0.3438,1.5310,0.3769,1.4048,1.4048,1.0864,0.6266,0.4845,0.4611,0.0000,True,0.5304,0.7536,0.4029,0.4986,0.5480
vol_of_vol_ratio,7,UNIVERSAL,91252,16805,56142,0.0287,0.0310,0.0264,0.2803,0.2803,0.9123,0.0000,-0.1202,0.1255,0.0793,0.1051,0.1073,0.0603,0.0929,1.7441,0.8976,1.7441,0.1578,0.3066,0.1842,0.0000,True,0.3739,0.7797,0.6725,0.3565,0.5465
tension_current,7,UNIVERSAL,91252,16805,56142,0.0503,0.0505,0.0500,0.3002,0.3002,0.8577,0.0000,-0.1762,-0.1829,1.2926,-0.1921,-0.5563,1.2285,-0.7136,1.3134,0.7957,1.3134,0.1461,0.2412,0.1842,0.0000,True,0.5188,0.8000,0.3101,0.5536,0.5439
d_vwap_sigma_tide,5,UNIVERSAL,91252,25542,42298,0.0389,0.0415,0.0364,-0.0922,0.0922,0.8901,0.0000,0.0506,-0.0121,0.2822,-0.0072,0.0092,0.1927,0.0067,1.7841,1.7841,1.5042,0.4587,0.3867,0.2799,-0.0282,False,0.4725,0.5362,0.6928,0.4493,0.5388
d_sigma_tide,3,UNIVERSAL,91252,42076,22946,0.0611,0.0672,0.0550,-0.0840,0.0840,0.8688,0.0000,0.0459,-0.0113,0.4030,-0.0058,0.0190,0.2670,0.0116,1.5783,1.5783,1.4251,0.6763,0.6106,0.4611,0.0000,False,0.5507,0.4957,0.5594,0.5246,0.5339
d_vwap_sigma_tide,7,UNIVERSAL,91252,16805,56142,0.0357,0.0378,0.0336,-0.0830,0.0830,0.8948,0.0000,0.0415,-0.0130,0.3007,-0.0070,0.0057,0.1978,0.0046,1.9582,1.9582,1.6579,0.3248,0.2750,0.1842,0.0000,False,0.4348,0.4899,0.7710,0.4174,0.5291
d_sigma_tide,5,UNIVERSAL,91252,25542,42298,0.0425,0.0459,0.0392,-0.0717,0.0717,0.8869,0.0000,0.0352,-0.0144,0.4324,-0.0075,0.0108,0.2908,0.0068,1.7975,1.7975,1.5916,0.4580,0.4056,0.2799,-0.0192,False,0.4928,0.4551,0.7072,0.4522,0.5288
d_sigma_tide,7,UNIVERSAL,91252,16805,56142,0.0356,0.0379,0.0333,-0.0611,0.0611,0.8947,0.0000,0.0256,-0.0147,0.4571,-0.0054,0.0064,0.3023,0.0042,1.9439,1.9439,1.7310,0.3208,0.2857,0.1842,0.0000,False,0.4319,0.4348,0.7652,0.4203,0.5136
kf_price_norm_innov,7,UNIVERSAL,91252,16805,56142,0.0585,0.0638,0.0532,0.0085,0.0085,0.8730,0.1078,0.0082,0.0193,3.3865,-0.0509,0.0003,1.7304,-0.0245,2.2173,2.2173,2.2063,0.3524,0.3506,0.1842,0.0000,False,0.5449,0.1594,0.8203,0.5188,0.5122
kf_conjugation_filt_vel,7,UNIVERSAL,91252,16805,56142,0.0384,0.0398,0.0370,-0.0909,0.0909,0.8828,0.0000,0.0709,-0.0034,0.0653,-0.0042,0.0013,0.0458,0.0004,1.6187,1.6187,1.3019,0.2744,0.2207,0.1842,0.0000,False,0.4594,0.5319,0.5899,0.4681,0.5119
kf_conjugation_pred_vel,7,UNIVERSAL,91252,16805,56142,0.0384,0.0398,0.0370,-0.0909,0.0909,0.8828,0.0000,0.0709,-0.0034,0.0653,-0.0042,0.0013,0.0458,0.0004,1.6187,1.6187,1.3019,0.2744,0.2207,0.1842,0.0000,False,0.4594,0.5319,0.5899,0.4681,0.5119
spread_current_wave,3,UNIVERSAL,91252,42076,22946,0.0495,0.0494,0.0497,-0.3172,0.3172,0.8670,0.0000,0.1827,-0.0963,1.1762,-0.1121,0.2793,1.1980,0.3406,1.1719,1.1242,0.8281,0.5200,0.3831,0.4611,0.0000,True,0.5159,0.8261,0.1797,0.5275,0.5117
kf_price_norm_innov,5,UNIVERSAL,91252,25542,42298,0.0711,0.0792,0.0630,0.0066,0.0066,0.8642,0.0682,0.0083,0.0180,3.1172,-0.0499,0.0029,1.6129,-0.0198,2.0190,1.9888,2.0190,0.4898,0.4973,0.2799,0.0006,False,0.5681,0.1449,0.7826,0.5362,0.5096
kf_rvol_pred_val,5,UNIVERSAL,91252,25542,42298,0.0271,0.0288,0.0255,0.2178,0.2178,0.9096,0.0000,-0.1046,1.0868,0.5526,0.9788,0.9837,0.4189,0.9157,1.6380,1.0336,1.6380,0.2750,0.4359,0.2799,0.1503,True,0.3652,0.7014,0.6087,0.3594,0.5090
kf_rsi_pred_vel,3,UNIVERSAL,91252,42076,22946,0.0582,0.0630,0.0533,-0.1531,0.1531,0.8656,0.0000,0.0836,-0.1486,2.2143,-0.0684,0.1644,1.6878,0.2350,1.3512,1.3512,1.1080,0.6016,0.4933,0.4611,0.0000,False,0.5406,0.6101,0.3377,0.5319,0.5055
kf_rsi_filt_vel,3,UNIVERSAL,91252,42076,22946,0.0582,0.0630,0.0533,-0.1531,0.1531,0.8656,0.0000,0.0836,-0.1486,2.2143,-0.0684,0.1644,1.6878,0.2350,1.3512,1.3512,1.1080,0.6016,0.4933,0.4611,0.0000,False,0.5406,0.6101,0.3377,0.5319,0.5055
kf_tension_uncert,7,UNIVERSAL,91252,16805,56142,0.1131,0.1161,0.1102,0.0333,0.0333,0.8133,0.0000,-0.0286,0.0793,0.0890,0.0339,0.0764,0.0844,0.0339,1.2988,0.7012,1.0898,0.1303,0.2025,0.1842,0.0000,False,0.6667,0.3362,0.2986,0.7304,0.5048
