ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
IBM,LL,vwap_sigma_current,48,0.25,0.14583333333333334,0.25,0.012,20.833333333333332,-1.6037161995054674
IBM,LL,kf_price_pred_val,48,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.03,19.444444444444446,-1.9461577876641913
IBM,LL,kf_price_filt_vel,48,0.1875,0.2708333333333333,0.3541666666666667,0.022,16.09848484848485,-1.152842119803615
IBM,LL,kf_price_innovation,48,0.10416666666666667,0.22916666666666666,0.2708333333333333,0.018,15.046296296296296,-0.4597132914848765
IBM,LL,vwap_sigma_wave,48,0.25,0.16666666666666666,0.2916666666666667,0.02,14.583333333333334,-1.6613837915942622
IBM,LL,kf_rsi_filt_vel,48,0.125,0.1875,0.20833333333333334,0.018,11.574074074074076,-1.2154094274715193
IBM,LL,vwap_sigma_tide,48,0.25,0.20833333333333334,0.2708333333333333,0.034,7.965686274509803,-1.4035655647322833
IBM,LL,sigma_current,48,0.25,0.14583333333333334,0.25,0.032,7.8125,-1.3440713694915287
IBM,LL,current_slope,48,0.10416666666666667,0.125,0.125,0.016,7.8125,-0.7446399359243875
IBM,LL,kf_rsi_pred_val,48,0.2708333333333333,0.125,0.2916666666666667,0.038,7.675438596491229,-1.6612766946956337
IBM,LL,current_accel,48,0.2708333333333333,0.20833333333333334,0.2708333333333333,0.038,7.12719298245614,-1.0175686173023764
IBM,LL,rsi_value,48,0.3125,0.1875,0.3125,0.044,7.1022727272727275,-1.6865696493261044
IBM,LL,tide_accel,48,0.20833333333333334,0.1875,0.22916666666666666,0.034,6.740196078431372,-1.0759544097453442
IBM,LL,sigma_wave,48,0.14583333333333334,0.125,0.1875,0.03,6.25,-1.3709719425054898
IBM,LL,kf_rvol_pred_val,48,0.10416666666666667,0.14583333333333334,0.1875,0.03,6.25,0.6045962076844292
IBM,LL,vwap_spread_current_wave,48,0.125,0.125,0.125,0.022,5.6818181818181825,0.6068398359848798
