ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
HD,LL,vwap_sigma_tide,59,0.3898305084745763,0.3389830508474576,0.3898305084745763,0.008,48.728813559322035,-1.5891943940920514
HD,LL,fear_level,59,0.288135593220339,0.288135593220339,0.3050847457627119,0.008,38.13559322033898,1.1192658906494226
HD,LL,kf_price_pred_val,59,0.2542372881355932,0.3220338983050847,0.4576271186440678,0.018,25.423728813559325,-1.6845847013949868
HD,LL,kf_price_filt_vel,59,0.13559322033898305,0.288135593220339,0.3728813559322034,0.022,16.949152542372882,-0.8813298015346896
HD,LL,vwap_sigma_current,59,0.2711864406779661,0.2542372881355932,0.3389830508474576,0.02,16.94915254237288,-1.631262475289534
HD,LL,wave_accel,59,0.2711864406779661,0.1694915254237288,0.3050847457627119,0.02,15.254237288135593,-1.4107217649716652
HD,LL,sigma_tide,59,0.2542372881355932,0.1694915254237288,0.2542372881355932,0.018,14.124293785310735,-1.3621648522867043
HD,LL,kf_price_innovation,59,0.11864406779661017,0.2711864406779661,0.288135593220339,0.024,12.005649717514125,-0.45186750871244263
HD,LL,vwap_sigma_wave,59,0.1864406779661017,0.11864406779661017,0.23728813559322035,0.024,9.887005649717514,-1.6870331939660999
HD,LL,conj_current_tide,59,0.13559322033898305,0.13559322033898305,0.15254237288135594,0.016,9.533898305084746,-0.5866944248064814
HD,LL,sigma_current,59,0.15254237288135594,0.15254237288135594,0.22033898305084745,0.026,8.474576271186441,-1.2699135351718687
HD,LL,current_slope,59,0.13559322033898305,0.13559322033898305,0.1694915254237288,0.02,8.47457627118644,-0.8035507393856934
HD,LL,kf_conj_filt_vel,59,0.1694915254237288,0.11864406779661017,0.1694915254237288,0.02,8.47457627118644,-1.012761715953807
HD,LL,wave_slope,59,0.2033898305084746,0.1694915254237288,0.2033898305084746,0.026,7.822685788787485,-1.2800044946903768
HD,LL,conj_wave_current,59,0.1694915254237288,0.11864406779661017,0.1694915254237288,0.022,7.704160246533128,-0.8796838154280257
HD,LL,vwap_spread_tide_wave,59,0.1016949152542373,0.1016949152542373,0.1016949152542373,0.014,7.263922518159807,0.7159884013045679
HD,LL,kf_rsi_pred_val,59,0.2033898305084746,0.15254237288135594,0.2033898305084746,0.028,7.263922518159807,-1.6202037600407688
HD,LL,current_accel,59,0.23728813559322035,0.22033898305084745,0.288135593220339,0.042,6.860371267150928,-1.4714193936832172
HD,LL,rsi_value,59,0.2033898305084746,0.15254237288135594,0.2033898305084746,0.03,6.779661016949153,-1.6515989211848499
HD,LL,vwap_spread_current_wave,59,0.1016949152542373,0.1016949152542373,0.1016949152542373,0.016,6.3559322033898304,0.7491407535309372
HD,LL,conj_wave_tide,59,0.15254237288135594,0.1016949152542373,0.15254237288135594,0.026,5.867014341590614,-1.1116618927692672
HD,LL,kf_conj_pred_val,59,0.15254237288135594,0.11864406779661017,0.15254237288135594,0.026,5.867014341590614,-1.1455821598265008
HD,LL,tension_wave,59,0.0,0.05084745762711865,0.05084745762711865,0.01,5.084745762711865,0.7136532489922344
HD,LL,kf_rvol_pred_val,59,0.0847457627118644,0.13559322033898305,0.2033898305084746,0.04,5.084745762711865,0.5303199252554025
HD,LL,sigma_wave,59,0.0847457627118644,0.06779661016949153,0.13559322033898305,0.034,3.9880358923230306,-1.072482933824437
HD,LL,compression_ratio,59,0.0847457627118644,0.11864406779661017,0.11864406779661017,0.03,3.954802259887006,0.3724628986296402
HD,LL,kf_rvol_filt_vel,59,0.0847457627118644,0.13559322033898305,0.1694915254237288,0.044,3.852080123266564,0.20538189410331673
HD,LL,tide_accel,59,0.1694915254237288,0.15254237288135594,0.2033898305084746,0.056,3.6319612590799033,-1.0429850943825645
HD,LL,kf_rsi_filt_vel,59,0.0847457627118644,0.03389830508474576,0.1016949152542373,0.038,2.6761819803746656,-0.9532931212214565
HD,LL,tide_slope,59,0.11864406779661017,0.11864406779661017,0.11864406779661017,0.046,2.5792188651436994,-0.5661963826787976
HD,LL,kf_tension_filt_vel,59,0.1016949152542373,0.06779661016949153,0.1016949152542373,0.046,2.210759027266028,-0.560909708361491
