ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
MCD,LL,vwap_sigma_current,27,0.5925925925925926,0.25925925925925924,0.5925925925925926,0.018,32.92181069958848,-2.040637051519108
MCD,LL,compression_ratio,27,0.2962962962962963,0.25925925925925924,0.2962962962962963,0.012,24.691358024691358,1.0853815897757835
MCD,LL,kf_price_pred_val,27,0.37037037037037035,0.25925925925925924,0.37037037037037035,0.018,20.5761316872428,-1.8356008453614616
MCD,LL,vwap_sigma_tide,27,0.6296296296296297,0.4444444444444444,0.6296296296296297,0.032,19.675925925925927,-1.941013387885465
MCD,LL,kf_price_filt_vel,27,0.2222222222222222,0.25925925925925924,0.37037037037037035,0.022,16.835016835016834,-1.0987736291141275
MCD,LL,wave_accel,27,0.18518518518518517,0.2962962962962963,0.3333333333333333,0.022,15.151515151515152,-0.7988309759322969
MCD,LL,current_accel,27,0.25925925925925924,0.2222222222222222,0.2962962962962963,0.02,14.814814814814813,-1.7933057211786818
MCD,LL,rsi_value,27,0.5185185185185185,0.2962962962962963,0.5185185185185185,0.036,14.40329218106996,-2.033022859149623
MCD,LL,kf_price_innovation,27,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.018,14.40329218106996,-0.9111613421488732
MCD,LL,conj_wave_tide,27,0.37037037037037035,0.3333333333333333,0.4074074074074074,0.03,13.580246913580247,-2.3899580731187635
MCD,LL,sigma_tide,27,0.4074074074074074,0.3333333333333333,0.4074074074074074,0.032,12.731481481481481,-1.8897517881780939
MCD,LL,kf_rsi_pred_val,27,0.4074074074074074,0.37037037037037035,0.48148148148148145,0.04,12.037037037037036,-1.9412709193810715
MCD,LL,wave_slope,27,0.37037037037037035,0.37037037037037035,0.4074074074074074,0.034,11.982570806100217,-2.461221876490367
MCD,LL,conj_wave_current,27,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.028,11.904761904761903,-2.0646880572513195
MCD,LL,kf_conj_pred_val,27,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.026,11.396011396011396,-2.157431333861354
MCD,LL,kf_conj_filt_vel,27,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.022,10.1010101010101,-0.7379054791382764
MCD,LL,kf_tension_filt_vel,27,0.18518518518518517,0.2962962962962963,0.3333333333333333,0.034,9.80392156862745,-0.6896589513355368
