ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
AAPL,LL,vwap_sigma_current,159,0.22641509433962265,0.1509433962264151,0.2389937106918239,0.01,23.89937106918239,-1.470696259929033
AAPL,LL,conj_current_tide,159,0.15723270440251572,0.16352201257861634,0.16352201257861634,0.008,20.440251572327043,-0.4833853341172109
AAPL,LL,kf_price_filt_vel,159,0.12578616352201258,0.11949685534591195,0.22012578616352202,0.012,18.343815513626833,-0.8538174675945498
AAPL,LL,current_accel,159,0.1509433962264151,0.14465408805031446,0.1949685534591195,0.012,16.247379454926627,-0.9795182846403375
AAPL,LL,vwap_sigma_wave,159,0.1949685534591195,0.14465408805031446,0.25157232704402516,0.02,12.578616352201257,-1.6124847376254883
AAPL,LL,conj_wave_current,159,0.11320754716981132,0.11320754716981132,0.12578616352201258,0.01,12.578616352201257,-0.7051988778828548
AAPL,LL,vwap_sigma_tide,159,0.16352201257861634,0.1069182389937107,0.16352201257861634,0.014,11.680143755615452,-0.9916478871540997
AAPL,LL,kf_price_pred_val,159,0.20754716981132076,0.14465408805031446,0.2578616352201258,0.024,10.744234800838575,-1.4504789400968399
AAPL,LL,wave_accel,159,0.14465408805031446,0.11949685534591195,0.18238993710691823,0.02,9.119496855345911,-1.073180497859862
AAPL,LL,kf_price_innovation,159,0.07547169811320754,0.1320754716981132,0.16352201257861634,0.018,9.084556254367575,-0.38897145211889206
AAPL,LL,kf_conj_pred_val,159,0.0880503144654088,0.10062893081761007,0.1069182389937107,0.012,8.90985324947589,-0.920240362257023
AAPL,LL,conj_wave_tide,159,0.09433962264150944,0.09433962264150944,0.10062893081761007,0.012,8.385744234800839,-0.8844430414411083
AAPL,LL,vwap_spread_tide_current,159,0.0880503144654088,0.09433962264150944,0.10062893081761007,0.012,8.385744234800839,0.2225100321302129
AAPL,LL,vwap_spread_current_wave,159,0.11320754716981132,0.10062893081761007,0.11949685534591195,0.016,7.468553459119497,0.5538307269730294
AAPL,LL,sigma_current,159,0.15723270440251572,0.07547169811320754,0.16352201257861634,0.022,7.43281875357347,-1.207710693564984
