date,ticker,ret_10d,macro_central,macro_final,confidence,final_close_pos,final_body_ratio
1993-07-23 13:30:00+00:00,AAPL,8.735930238464604,BEARISH_MARUBOZU,NONE,1.5,0.056,0.889
1993-07-29 13:30:00+00:00,AAPL,-4.072189420602625,NONE,NONE,1.1,0.132,0.736
1993-08-23 13:30:00+00:00,AAPL,-7.407334247770284,NONE,NONE,1.0,0.5,0.132
1994-05-17 13:30:00+00:00,AAPL,-5.518453216403833,NONE,NONE,1.1,0.125,0.425
1994-06-08 13:30:00+00:00,AAPL,1.8431491661571862,NONE,BEARISH_MARUBOZU,1.1,0.019,0.558
1994-06-30 13:30:00+00:00,AAPL,6.654037814673012,DOJI,BULLISH_ENGULFING,0.6,0.556,0.185
1995-10-23 13:30:00+00:00,AAPL,7.205484974269494,TWEEZER_TOP,SHOOTING_STAR,1.4300000000000002,0.253,0.505
1996-01-22 14:30:00+00:00,AAPL,-14.097078590186882,NONE,EVENING_STAR,1.1,0.2,0.28
1996-01-25 14:30:00+00:00,AAPL,-9.01659959758551,NONE,NONE,1.1,0.16,0.22
1996-02-15 14:30:00+00:00,AAPL,-4.740940057713993,NONE,NONE,1.1,0.26,0.541
1996-03-08 14:30:00+00:00,AAPL,-3.563184583185593,NONE,NONE,1.1,0.19,0.405
1996-03-25 14:30:00+00:00,AAPL,7.939700735537188,BEARISH_ENGULFING,BEARISH_ENGULFING,1.5,0.0,0.87
1996-03-27 14:30:00+00:00,AAPL,3.413439653978121,NONE,NONE,1.0,0.643,0.286
1996-03-29 14:30:00+00:00,AAPL,1.935854587889353,NONE,THREE_BLACK_CROWS,1.0,0.446,0.482
1996-04-01 14:30:00+00:00,AAPL,0.6813281060699912,NONE,NONE,1.0,0.714,0.143
1996-04-23 13:30:00+00:00,AAPL,8.888215268809196,NONE,NONE,1.0,0.364,0.318
1996-04-24 13:30:00+00:00,AAPL,9.40680776679817,PIERCING_LINE,BEARISH_MARUBOZU,1.1,0.182,0.318
1996-04-30 13:30:00+00:00,AAPL,12.531623524235538,NONE,NONE,1.1,0.105,0.737
1996-07-12 13:30:00+00:00,AAPL,20.71326206284552,BEARISH_ENGULFING,THREE_BLACK_CROWS,1.5,0.144,0.856
1997-01-28 14:30:00+00:00,AAPL,-5.780430807976864,NONE,THREE_BLACK_CROWS,1.265,0.062,0.813
1997-02-03 14:30:00+00:00,AAPL,9.160425430046844,DRAGONFLY_DOJI,BEARISH_MARUBOZU,0.6325,0.029,0.971
1997-02-04 14:30:00+00:00,AAPL,15.289994270885995,NONE,NONE,1.265,0.087,0.913
1997-02-12 14:30:00+00:00,AAPL,7.510110990700014,NONE,NONE,1.1,0.278,0.667
1997-06-30 13:30:00+00:00,AAPL,13.636200291798728,NONE,THREE_BLACK_CROWS,1.265,0.091,0.909
1997-12-18 14:30:00+00:00,AAPL,16.51340174152359,NONE,NONE,1.265,0.015,0.91
1998-09-15 13:30:00+00:00,SPY,-0.020841396969059997,DRAGONFLY_DOJI,HAMMER,0.5,0.592,0.358
1998-09-18 13:30:00+00:00,SPY,0.6464103925303631,TWEEZER_TOP,NONE,1.0,0.7,0.238
1998-10-06 13:30:00+00:00,SPY,8.022841278354424,HAMMER,NONE,1.1,0.211,0.578
1998-10-12 13:30:00+00:00,SPY,7.918403158587403,NONE,NONE,1.0,0.524,0.239
