date,ticker,ret_10d,signal,confidence,regime
1993-06-10 13:30:00+00:00,AAPL,-7.607239494660053,1,0.7,BULL
1993-06-14 13:30:00+00:00,AAPL,-11.982228350076154,1,0.5,BULL
1993-06-16 13:30:00+00:00,AAPL,-7.494222290535581,1,1.0,BULL
1993-06-22 13:30:00+00:00,AAPL,-12.939512632456879,1,0.4,FLAT
1993-06-24 13:30:00+00:00,AAPL,-9.259248504799826,1,0.4,FLAT
1994-01-31 14:30:00+00:00,SPY,-1.9976650668050302,-1,0.5,BULL
1994-02-02 14:30:00+00:00,SPY,-1.6138440598872312,-1,0.5,BULL
1994-02-25 14:30:00+00:00,SPY,-0.25286132552568236,1,0.5,BULL
1994-03-02 14:30:00+00:00,SPY,1.299745410692757,1,1.0,BULL
1994-03-04 14:30:00+00:00,SPY,0.17328712343374494,1,1.0,BULL
1994-03-11 14:30:00+00:00,SPY,-2.364505844845903,1,0.52,BULL
1994-03-14 14:30:00+00:00,SPY,-2.2511454943887435,1,0.44,BULL
1994-03-28 14:30:00+00:00,SPY,-2.7796610169491522,1,1.0,BULL
1994-03-31 14:30:00+00:00,SPY,2.720990498128416,1,1.0,BULL
1994-04-05 13:30:00+00:00,SPY,-1.23844430529465,1,0.5,BULL
1994-04-07 13:30:00+00:00,SPY,-0.1736714136853074,1,0.5,BULL
1994-04-11 13:30:00+00:00,SPY,0.8412125518590094,1,0.99,BULL
1994-04-14 13:30:00+00:00,SPY,1.0964476532654623,1,0.38,BULL
1994-04-19 13:30:00+00:00,SPY,1.7997750281214784,1,0.96,BULL
1994-04-21 13:30:00+00:00,AAPL,2.25453050403519,1,1.0,BULL
1994-04-22 13:30:00+00:00,AAPL,4.515137235629348,1,1.0,BULL
1994-05-13 13:30:00+00:00,AAPL,-0.5398329598757021,1,0.5,BULL
1994-06-03 13:30:00+00:00,AAPL,-3.8982602687925887,1,1.0,BULL
1994-06-07 13:30:00+00:00,AAPL,-6.009614314015504,1,0.7,BULL
1994-06-09 13:30:00+00:00,AAPL,-7.713434024546675,1,1.0,BULL
1994-06-13 13:30:00+00:00,AAPL,-3.9338843788195827,1,0.7,BULL
1994-06-14 13:30:00+00:00,AAPL,-1.3369795786851637,1,0.7,BULL
1994-06-15 13:30:00+00:00,AAPL,-6.403968559366886,1,1.0,BULL
1994-06-17 13:30:00+00:00,AAPL,-2.3699419510724415,1,0.5,BULL
1994-06-20 13:30:00+00:00,AAPL,-1.9425655724150872,1,0.7,BULL
1994-06-22 13:30:00+00:00,AAPL,1.6104654148700337,1,0.5,BULL
1994-06-24 13:30:00+00:00,AAPL,6.246934180237806,1,0.7,BULL
1994-06-27 13:30:00+00:00,AAPL,7.480963182971942,1,0.7,BULL
1994-06-28 13:30:00+00:00,AAPL,10.46529557625388,1,0.84,BULL
1994-10-21 13:30:00+00:00,AAPL,-5.830799452472749,-1,0.5,BULL
1994-10-24 13:30:00+00:00,AAPL,-2.3658580109511345,-1,0.5,BULL
1994-10-25 13:30:00+00:00,AAPL,-1.0284610863907258,-1,0.5,BULL
1994-10-26 13:30:00+00:00,AAPL,-4.034615097600911,-1,0.5,BULL
1994-10-27 13:30:00+00:00,AAPL,-2.7656335466353963,-1,0.5,BULL
1994-10-28 13:30:00+00:00,AAPL,-2.5186494107240254,-1,0.25,BULL
1994-10-31 14:30:00+00:00,AAPL,-1.13039909849466,-1,0.5,BULL
1994-11-01 14:30:00+00:00,AAPL,-4.473310145038469,-1,0.5,BULL
1994-11-02 14:30:00+00:00,AAPL,-2.180298180243603,-1,0.25,BULL
1994-11-03 14:30:00+00:00,AAPL,-3.990152312265695,-1,0.25,BULL
1994-11-08 14:30:00+00:00,AAPL,-12.98020218435456,-1,0.25,BULL
1995-01-11 14:30:00+00:00,AAPL,-11.45683238688262,-1,0.25,BULL
