date,ticker,ret_10d,confidence,regime
1993-08-05 13:30:00+00:00,AAPL,-6.3032693017326,0.9,BEAR
1993-08-06 13:30:00+00:00,AAPL,-4.680601854305448,0.9,BEAR
1993-08-10 13:30:00+00:00,AAPL,-2.2686572065333053,0.9,BEAR
1993-08-11 13:30:00+00:00,AAPL,-1.535628648610369,0.9,BEAR
1993-08-12 13:30:00+00:00,AAPL,0.8441820696518508,0.9,BEAR
1993-08-13 13:30:00+00:00,AAPL,-3.8982602687925887,0.9,BEAR
1993-08-16 13:30:00+00:00,AAPL,-6.726464245807591,0.9,BEAR
1993-08-19 13:30:00+00:00,AAPL,-7.540751280157028,0.9,BEAR
1993-08-25 13:30:00+00:00,AAPL,-4.848741211103213,0.85,BEAR
1993-08-26 13:30:00+00:00,AAPL,-3.04690234077354,0.7,BEAR
1993-08-27 13:30:00+00:00,AAPL,-4.941285602850339,0.7,BEAR
1993-08-30 13:30:00+00:00,AAPL,-8.748692454291747,0.7,BEAR
1993-08-31 13:30:00+00:00,AAPL,-7.894698060925505,0.85,BEAR
1993-09-01 13:30:00+00:00,AAPL,-5.17255066708605,0.9,BEAR
1993-09-02 13:30:00+00:00,AAPL,-3.16421741597429,0.9,BEAR
1993-09-03 13:30:00+00:00,AAPL,-4.784850837545034,0.9,BEAR
1993-09-07 13:30:00+00:00,AAPL,-7.020850282104053,0.9,BEAR
1993-09-09 13:30:00+00:00,AAPL,-6.027608020707918,0.9,BEAR
1993-09-10 13:30:00+00:00,AAPL,-5.392741721854304,0.9,BEAR
1993-09-13 13:30:00+00:00,AAPL,1.6426046912113035,0.89,BEAR
1993-10-06 13:30:00+00:00,AAPL,17.58508460290687,0.78,BEAR
1993-10-07 13:30:00+00:00,AAPL,29.55039720493589,0.77,BEAR
1994-03-02 14:30:00+00:00,SPY,1.299745410692757,0.43,BULL
1994-03-04 14:30:00+00:00,SPY,0.17328712343374494,0.37,BULL
1994-03-24 14:30:00+00:00,SPY,-3.826753648530506,0.58,FLAT
1994-03-25 14:30:00+00:00,SPY,-2.5449609772650152,0.58,FLAT
1994-04-05 13:30:00+00:00,AAPL,-15.018390998503053,0.67,BULL
1994-04-08 13:30:00+00:00,AAPL,-11.458303819434603,0.88,BULL
1994-05-06 13:30:00+00:00,SPY,1.993704092339979,0.7,BEAR
1994-05-09 13:30:00+00:00,SPY,1.9650416357602685,0.7,BEAR
1994-05-11 13:30:00+00:00,SPY,2.6835765340332407,0.7,BEAR
1994-06-02 13:30:00+00:00,AAPL,-3.210850992034222,0.58,FLAT
1994-06-08 13:30:00+00:00,SPY,-1.5931260093142743,0.7,BEAR
1994-10-07 13:30:00+00:00,SPY,1.9012446997674706,0.61,BULL
1994-11-25 14:30:00+00:00,AAPL,-3.8940346065804836,0.95,BULL
1994-11-28 14:30:00+00:00,AAPL,-4.136345224819663,0.94,BULL
1994-11-29 14:30:00+00:00,AAPL,-5.7949932488190745,0.9,BULL
1994-12-02 14:30:00+00:00,AAPL,1.706343951896148,0.99,BULL
1994-12-05 14:30:00+00:00,AAPL,5.316218480579969,0.93,BULL
1994-12-06 14:30:00+00:00,AAPL,2.189911217405134,0.89,BULL
1994-12-09 14:30:00+00:00,AAPL,6.507031008115876,1.0,BULL
1994-12-12 14:30:00+00:00,AAPL,6.6256357537888775,0.94,BULL
