ticker,date,layer,pattern,sentiment,trend_bias,kalman_vol,ret_3d,ret_5d,ret_10d
AAPL,2021-10-20,MACRO,BULLISH_MARUBOZU,BULLISH,UP,DECEL,-0.23289486663428438,-0.09192784654997997,1.680038811220269
AAPL,2021-10-21,MICRO,THREE_WHITE_SOLDIERS,BULLISH,UP,ACCEL,-0.3496828096294703,1.8192290881735562,0.7447570789888128
AAPL,2021-10-21,MACRO,BULLISH_MARUBOZU,BULLISH,UP,ACCEL,-0.3496828096294703,1.8192290881735562,0.7447570789888128
AAPL,2021-10-22,MICRO,BEARISH_ENGULFING,BEARISH,UP,ACCEL,0.23233510004384536,0.8720316808261509,2.017319167925969
AAPL,2021-10-22,MACRO,THREE_WHITE_SOLDIERS,BULLISH,UP,ACCEL,-0.003339341601705944,0.6348531324036002,1.7774477261494275
AAPL,2021-10-25,MICRO,DOJI,NEUTRAL,UP,DECEL,2.2950442708253314,-0.1253867154308936,1.014122498983769
AAPL,2021-10-26,MICRO,GRAVESTONE_DOJI,BEARISH,UP,ACCEL,0.3779153624010524,0.5253232469134077,1.202183586360926
AAPL,2021-10-26,MACRO,THREE_WHITE_SOLDIERS,BULLISH,UP,ACCEL,0.2113856534004755,0.35854898419776704,1.034286393815997
AAPL,2021-10-27,MACRO,GRAVESTONE_DOJI,BEARISH,UP,ACCEL,-0.3445398223640571,1.3480499877870673,-0.8959000832767458
AAPL,2021-10-29,MACRO,THREE_WHITE_SOLDIERS,BULLISH,UP,ACCEL,1.5484652791779407,1.5556986917047566,0.6897095193373086
AAPL,2021-11-01,MICRO,TWEEZER_TOP,BEARISH,UP,ACCEL,1.74701054558337,1.5445242825616117,1.2475416233755252
AAPL,2021-11-01,MACRO,DOJI,NEUTRAL,UP,ACCEL,1.74701054558337,1.5445242825616117,1.2475416233755252
AAPL,2021-11-02,MICRO,BULLISH_ENGULFING,BULLISH,UP,DECEL,0.5947993269087032,0.28225725830061793,0.4086033901428819
AAPL,2021-11-05,MACRO,THREE_WHITE_SOLDIERS,BULLISH,UP,DECEL,-2.3959021360344033,-1.030004418734662,5.937936293443785
AAPL,2021-11-08,MACRO,BULLISH_ENGULFING,BULLISH,UP,DECEL,-1.6409730303596053,-0.22415341367531183,7.106038715146104
