layer,pattern,regime,n,delta_wr,delta_avg,pat_wr,base_wr
MACRO,HAMMER,HORIZONTAL,67,-11.096624874472575,-0.9426783489119315,41.7910447761194,52.887669650591974
MACRO,HAMMER,MUY_ALCISTA,111,5.982905982905983,0.14674588006037126,57.65765765765766,51.674751674751676
MACRO,HANGING_MAN,BAJISTA,76,5.711500974658868,0.7030015359931594,60.526315789473685,54.81481481481482
MACRO,HANGING_MAN,HORIZONTAL,57,-9.02802052778496,-1.4153841606305566,43.859649122807014,52.887669650591974
MACRO,HANGING_MAN,MUY_ALCISTA,64,-3.2372516747516755,-0.7751843363082085,48.4375,51.674751674751676
MACRO,INVERTED_HAMMER,MUY_BAJISTA,42,-6.1358788010268555,-1.3857452271344965,52.38095238095239,58.51683118197924
MACRO,INVERTED_HAMMER,HORIZONTAL,69,6.532620204480487,0.2106869183057699,59.42028985507246,52.887669650591974
MACRO,INVERTED_HAMMER,ALCISTA,72,3.049440469638597,0.26745584429919167,54.166666666666664,51.11722619702807
MACRO,INVERTED_HAMMER,MUY_ALCISTA,69,-6.7472154428676205,0.12529566514068852,44.927536231884055,51.674751674751676
MACRO,MORNING_STAR,HORIZONTAL,222,-4.689471452393775,-0.606876851313745,48.1981981981982,52.887669650591974
MACRO,MORNING_STAR,ALCISTA,263,-3.208480949879778,0.07529915635848555,47.90874524714829,51.11722619702807
MACRO,PIERCING_LINE,MUY_BAJISTA,28,12.911740246592188,-0.7209715952692912,71.42857142857143,58.51683118197924
MACRO,PIERCING_LINE,BAJISTA,31,-9.653524492234176,0.12965947804024497,45.16129032258064,54.81481481481482
MACRO,PIERCING_LINE,MUY_ALCISTA,34,-13.439457557104618,-1.9183346594755408,38.23529411764706,51.674751674751676
MACRO,SHOOTING_STAR,MUY_BAJISTA,29,-10.240969113013726,-0.9760345726194748,48.275862068965516,58.51683118197924
MACRO,SHOOTING_STAR,ALCISTA,67,8.58426634028536,0.9056308967601341,59.70149253731343,51.11722619702807
MACRO,SHOOTING_STAR,MUY_ALCISTA,61,7.341641767871273,0.37230632361186283,59.01639344262295,51.674751674751676
MACRO,THREE_BLACK_CROWS,MUY_BAJISTA,73,15.455771557746786,2.500646594180746,73.97260273972603,58.51683118197924
MACRO,THREE_BLACK_CROWS,ALCISTA,136,6.23571497944252,0.5031670891622351,57.35294117647059,51.11722619702807
MACRO,THREE_WHITE_SOLDIERS,MUY_BAJISTA,39,-9.798882464030527,-0.4661631074699357,48.717948717948715,58.51683118197924
MACRO,THREE_WHITE_SOLDIERS,HORIZONTAL,148,7.92314116021884,0.6978860983144344,60.810810810810814,52.887669650591974
MACRO,TWEEZER_BOTTOM,MUY_BAJISTA,90,8.149835484687415,0.14846581950289295,66.66666666666666,58.51683118197924
MACRO,TWEEZER_BOTTOM,ALCISTA,263,-5.109621634290427,-0.41062787958067715,46.00760456273764,51.11722619702807
MACRO,TWEEZER_TOP,MUY_BAJISTA,87,7.000410197331107,1.0392988268432355,65.51724137931035,58.51683118197924
MACRO,TWEEZER_TOP,BAJISTA,209,3.0799220272904506,0.2161617706627656,57.89473684210527,54.81481481481482
MACRO,TWEEZER_TOP,HORIZONTAL,248,-6.113476102204878,-0.764112477723907,46.774193548387096,52.887669650591974
MACRO,TWEEZER_TOP,MUY_ALCISTA,348,-6.272452824176966,-0.5446294951426485,45.40229885057471,51.674751674751676
HYPER,BEARISH_ENGULFING,MUY_BAJISTA,160,7.108168818020758,0.7286981714479328,65.625,58.51683118197924
HYPER,BEARISH_ENGULFING,MUY_ALCISTA,305,6.685904062953242,0.6303937921566769,58.36065573770492,51.674751674751676
HYPER,BEARISH_MARUBOZU,MUY_BAJISTA,102,12.07140411213841,2.0651913618026354,70.58823529411765,58.51683118197924
HYPER,BEARISH_MARUBOZU,BAJISTA,143,6.0243460243460305,-0.3065261549078773,60.83916083916085,54.81481481481482
HYPER,BEARISH_MARUBOZU,ALCISTA,77,3.4282283484264724,-0.33965761243014947,54.54545454545454,51.11722619702807
HYPER,BULLISH_ENGULFING,HORIZONTAL,436,3.3049908998667448,0.25629062438896194,56.19266055045872,52.887669650591974
HYPER,BULLISH_ENGULFING,MUY_ALCISTA,309,-3.4546869498325847,0.13222795792332243,48.22006472491909,51.674751674751676
HYPER,BULLISH_MARUBOZU,ALCISTA,373,13.762130371336546,1.0969695071174874,64.87935656836461,51.11722619702807
HYPER,DARK_CLOUD_COVER,HORIZONTAL,22,-7.433124196046521,-0.4268862333445327,45.45454545454545,52.887669650591974
